"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXCL9",0.00657510073139945,3.94548059603257,3.4515473033265,0.000559797358243512,0.00335260313367309,-3.79739518530458
"PDCD1LG2",0.00405412833407804,1.03687423312833,3.38002014920401,0.000727710372878913,0.00414003351142942,-3.6388510816299
"LAG3",0.00426563435490088,1.84932218369795,3.1869919799992,0.001442242419889,0.0071276336777386,-4.33492599643851
"CD80",0.00360977677721064,-0.883172110440587,3.00235156912117,0.0026859638346669,0.0115526474300008,-4.78675347833281
"HAVCR2",0.00279383156128505,3.49313059921682,2.64203574163806,0.0082543820927833,0.0278665879076179,-6.17334848695646
"CD274",0.00305340945530998,2.11768551072691,2.61233686469461,0.00900665238856001,0.0298989772101152,-6.04802018222362
"CD86",0.00214571351249126,2.92783581681303,2.13093171630644,0.033120259748648,0.0833761722798597,-7.28996121158678
"TGFB1",-0.0015939775857838,5.9114626036481,-2.06964643212586,0.0385123173219795,0.0935754719267522,-7.79700275507756
"CTLA4",-0.000843299762098985,0.119286991751119,-0.574696902906257,0.565509851374598,0.692859628237583,-9.14399537588854
"JAK2",-0.000382849421485071,3.81601812753355,-0.562559768715796,0.573747909832431,0.699881892264589,-9.55125759214165
"PDCD1",-0.000622912460537423,0.360630600407939,-0.421266028008074,0.673570323076989,0.778683022498377,-9.22906226587626
